Year,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Electors,Position,Sex,Party,Votes,Candidate,Margin_Percentage
2018,1,NIPPANI,82.38,50.51,209099,1,Female,BJP,87006,JOLLE SHASHIKALA ANNASAHEB,4.94
2018,2,CHIKKODI-SADALGA,86.88,51.04,206262,1,Male,INC,91467,GANESH PRAKASH HUKKERI,5.9
2018,3,ATHANI,81.21,48.13,210031,1,Male,INC,82094,MAHESH IRANAGOUDA KUMATHALLI,1.37
2018,4,KAGWAD,81.54,56.99,178735,1,Male,INC,83060,SHRIMANT BALASAHEB PATIL,22.6
2018,5,KUDACHI,77.33,49.6,176708,1,Male,BJP,67781,P.RAJEEV,10.98
2018,6,RAYBAG,78.46,44.88,191690,1,Male,BJP,67502,AIHOLE DURYODHAN MAHALINGAPPA,11
2018,7,HUKKERI,82.22,52.94,192032,1,Male,BJP,83588,UMESH VISHWANATH KATTI,9.74
2018,8,ARABHAVI,77.49,54.34,228322,1,Male,BJP,96144,BALACHANDRA LAKSHMANARAO JARAKIHOLI,26.75
2018,9,GOKAK,73.03,51.87,238221,1,Male,INC,90249,JARKIHOLI RAMESH LAXMANRAO,8.21
2018,10,YEMKANMARDI,80.49,49.16,185780,1,Male,INC,73512,SATISH. L. JARKIHOLI,1.91
2018,11,BELGAUM UTTAR,64.23,53.63,229511,1,Male,BJP,79060,ANIL S BENAKE,11.71
2018,12,BELGAUM DAKSHIN,63.57,57.59,230803,1,Male,BJP,84498,ABHAY PATIL,40
2018,13,BELGAUM RURAL,79.64,54.74,234076,1,Female,INC,102040,LAXMI R HEBBALKAR,27.75
2018,14,KHANAPUR,75.34,23.76,204694,1,Female,INC,36649,DR. ANJALI HEMANT NIMBALKAR,3.33
2018,15,KITTUR,79.76,49.26,186195,1,Male,BJP,73155,DODDAGOUDAR MAHANTESH BASAVANTARAY,22.13
2018,16,BAILHONGAL,79.35,32.49,182491,1,Male,INC,47040,KOUJALAGI. MAHANTESH. SHIVANAND.,3.54
